Analysis Type:	PANTHER Overrepresentation Test (Released 20171205)
Annotation Version and Release Date:	GO Ontology database  Released 2018-08-09
Analyzed List:	Client Text Box Input (Mus musculus)
Reference List:	Mus musculus (all genes in database)
Test Type:	BINOMIAL
Bonferroni correction:	true
Bonferroni count:	8494
GO Term	SizeDE	genes	expected	Direction	Enrichment	P-value 
ribonucleoprotein complex biogenesis (GO:0022613)	398	222	115.97	+	1.91	5.40E-15
RNA localization (GO:0006403)	156	87	45.46	+	1.91	2.12E-04
oxidoreduction coenzyme metabolic process (GO:0006733)	122	68	35.55	+	1.91	6.69E-03
regulation of protein modification by small protein conjugation or removal (GO:1903320)	219	122	63.82	+	1.91	4.17E-07
myeloid leukocyte differentiation (GO:0002573)	106	59	30.89	+	1.91	3.55E-02
covalent chromatin modification (GO:0016569)	324	180	94.41	+	1.91	1.57E-11
ribosome biogenesis (GO:0042254)	265	147	77.22	+	1.90	6.35E-09
cofactor biosynthetic process (GO:0051188)	179	99	52.16	+	1.90	3.66E-05
protein stabilization (GO:0050821)	161	89	46.91	+	1.90	2.18E-04
positive regulation of protein polymerization (GO:0032273)	114	63	33.22	+	1.90	2.15E-02
viral process (GO:0016032)	125	69	36.42	+	1.89	7.76E-03
nucleobase-containing compound transport (GO:0015931)	165	91	48.08	+	1.89	1.70E-04
nucleoside triphosphate metabolic process (GO:0009141)	214	118	62.36	+	1.89	1.54E-06
regulation of mitochondrion organization (GO:0010821)	127	70	37.01	+	1.89	6.84E-03
protein import (GO:0017038)	149	82	43.42	+	1.89	8.92E-04
regulation of protein stability (GO:0031647)	255	140	74.31	+	1.88	4.44E-08
positive regulation of binding (GO:0051099)	197	108	57.40	+	1.88	1.19E-05
peptidyl-lysine modification (GO:0018205)	230	126	67.02	+	1.88	5.66E-07
ATP metabolic process (GO:0046034)	163	89	47.50	+	1.87	3.71E-04
positive regulation of apoptotic signaling pathway (GO:2001235)	177	96	51.58	+	1.86	1.54E-04
nucleocytoplasmic transport (GO:0006913)	203	110	59.15	+	1.86	1.56E-05
transcription by RNA polymerase II (GO:0006366)	196	106	57.11	+	1.86	3.35E-05
cellular amide metabolic process (GO:0043603)	627	339	182.70	+	1.86	4.19E-22
response to ionizing radiation (GO:0010212)	124	67	36.13	+	1.85	2.21E-02
regulation of response to biotic stimulus (GO:0002831)	139	75	40.50	+	1.85	6.16E-03
regulation of intracellular transport (GO:0032386)	367	198	106.94	+	1.85	1.02E-11
posttranscriptional regulation of gene expression (GO:0010608)	393	212	114.52	+	1.85	1.02E-12
nuclear transport (GO:0051169)	204	110	59.44	+	1.85	2.02E-05
ncRNA processing (GO:0034470)	323	174	94.12	+	1.85	6.03E-10
protein localization to nucleus (GO:0034504)	169	91	49.25	+	1.85	4.84E-04
DNA repair (GO:0006281)	392	211	114.23	+	1.85	1.49E-12
regulation of histone modification (GO:0031056)	145	78	42.25	+	1.85	4.21E-03
peptidyl-serine phosphorylation (GO:0018105)	160	86	46.62	+	1.84	1.18E-03
mRNA processing (GO:0006397)	389	209	113.35	+	1.84	2.48E-12
vacuole organization (GO:0007033)	123	66	35.84	+	1.84	3.24E-02
myeloid cell differentiation (GO:0030099)	222	119	64.69	+	1.84	6.45E-06
regulation of tumor necrosis factor superfamily cytokine production (GO:1903555)	140	75	40.80	+	1.84	7.96E-03
coenzyme metabolic process (GO:0006732)	266	142	77.51	+	1.83	2.08E-07
regulation of chromosome organization (GO:0033044)	336	179	97.91	+	1.83	6.76E-10
purine ribonucleoside monophosphate metabolic process (GO:0009167)	188	100	54.78	+	1.83	1.98E-04
ribonucleoside monophosphate metabolic process (GO:0009161)	192	102	55.95	+	1.82	1.53E-04
energy derivation by oxidation of organic compounds (GO:0015980)	194	103	56.53	+	1.82	1.35E-04
positive regulation of intracellular transport (GO:0032388)	200	106	58.28	+	1.82	9.18E-05
proteasomal protein catabolic process (GO:0010498)	300	159	87.42	+	1.82	2.37E-08
purine nucleoside monophosphate metabolic process (GO:0009126)	189	100	55.07	+	1.82	2.53E-04
regulation of tumor necrosis factor production (GO:0032680)	138	73	40.21	+	1.82	1.70E-02
negative regulation of transferase activity (GO:0051348)	242	128	70.52	+	1.82	3.36E-06
tRNA metabolic process (GO:0006399)	161	85	46.91	+	1.81	2.83E-03
regulation of protein binding (GO:0043393)	233	123	67.89	+	1.81	8.14E-06
cellular macromolecule catabolic process (GO:0044265)	705	371	205.43	+	1.81	2.01E-22
double-strand break repair (GO:0006302)	154	81	44.87	+	1.81	6.05E-03
RNA processing (GO:0006396)	719	378	209.51	+	1.80	7.86E-23
ribonucleotide biosynthetic process (GO:0009260)	162	85	47.21	+	1.80	3.62E-03
protein modification by small protein conjugation (GO:0032446)	446	234	129.96	+	1.80	5.49E-13
Golgi vesicle transport (GO:0048193)	244	128	71.10	+	1.80	5.46E-06
RNA splicing (GO:0008380)	307	161	89.46	+	1.80	3.79E-08
negative regulation of kinase activity (GO:0033673)	208	109	60.61	+	1.80	1.02E-04
proteasome-mediated ubiquitin-dependent protein catabolic process (GO:0043161)	271	142	78.97	+	1.80	7.08E-07
cellular component disassembly (GO:0022411)	189	99	55.07	+	1.80	4.68E-04
modification-dependent macromolecule catabolic process (GO:0043632)	470	246	136.95	+	1.80	1.15E-13
cellular response to oxidative stress (GO:0034599)	193	101	56.24	+	1.80	3.62E-04
modification-dependent protein catabolic process (GO:0019941)	459	240	133.75	+	1.79	3.19E-13
nucleoside monophosphate metabolic process (GO:0009123)	203	106	59.15	+	1.79	1.90E-04
regulation of cellular protein catabolic process (GO:1903362)	228	119	66.44	+	1.79	2.80E-05
response to insulin (GO:0032868)	161	84	46.91	+	1.79	5.23E-03
ubiquitin-dependent protein catabolic process (GO:0006511)	447	233	130.25	+	1.79	1.28E-12
regulation of gene expression, epigenetic (GO:0040029)	165	86	48.08	+	1.79	4.04E-03
regulation of intrinsic apoptotic signaling pathway (GO:2001242)	167	87	48.66	+	1.79	3.55E-03
regulation of proteasomal protein catabolic process (GO:0061136)	167	87	48.66	+	1.79	3.55E-03
establishment of protein localization to organelle (GO:0072594)	269	140	78.38	+	1.79	1.48E-06
protein modification by small protein conjugation or removal (GO:0070647)	565	294	164.64	+	1.79	1.64E-16
organophosphate biosynthetic process (GO:0090407)	385	200	112.19	+	1.78	2.43E-10
nucleobase-containing compound catabolic process (GO:0034655)	258	134	75.18	+	1.78	4.05E-06
generation of precursor metabolites and energy (GO:0006091)	264	137	76.93	+	1.78	2.75E-06
regulation of proteolysis involved in cellular protein catabolic process (GO:1903050)	197	102	57.40	+	1.78	5.11E-04
regulation of chromatin organization (GO:1902275)	182	94	53.03	+	1.77	1.82E-03
peptidyl-serine modification (GO:0018209)	182	94	53.03	+	1.77	1.82E-03
symbiont process (GO:0044403)	213	110	62.07	+	1.77	1.82E-04
organonitrogen compound biosynthetic process (GO:1901566)	1065	550	310.33	+	1.77	7.29E-33
purine ribonucleotide biosynthetic process (GO:0009152)	153	79	44.58	+	1.77	1.61E-02
protein ubiquitination (GO:0016567)	403	208	117.43	+	1.77	1.37E-10
regulation of autophagy (GO:0010506)	219	113	63.82	+	1.77	1.23E-04
DNA replication (GO:0006260)	169	87	49.25	+	1.77	5.68E-03
proteolysis involved in cellular protein catabolic process (GO:0051603)	527	271	153.56	+	1.76	2.22E-14
vesicle organization (GO:0016050)	214	110	62.36	+	1.76	2.29E-04
cell division (GO:0051301)	472	242	137.54	+	1.76	2.01E-12
peptidyl-amino acid modification (GO:0018193)	673	345	196.11	+	1.76	7.51E-19
chromatin organization (GO:0006325)	609	312	177.46	+	1.76	9.73E-17
ncRNA metabolic process (GO:0034660)	420	215	122.39	+	1.76	1.09E-10
ribonucleotide metabolic process (GO:0009259)	344	176	100.24	+	1.76	2.78E-08
macromolecule catabolic process (GO:0009057)	798	408	232.53	+	1.75	1.22E-22
positive regulation of supramolecular fiber organization (GO:1902905)	184	94	53.62	+	1.75	2.88E-03
protein targeting (GO:0006605)	194	99	56.53	+	1.75	1.51E-03
cellular protein catabolic process (GO:0044257)	545	278	158.81	+	1.75	2.20E-14
protein localization to organelle (GO:0033365)	547	279	159.39	+	1.75	1.93E-14
negative regulation of protein modification process (GO:0031400)	547	279	159.39	+	1.75	1.93E-14
regulation of mitotic cell cycle phase transition (GO:1901990)	251	128	73.14	+	1.75	2.79E-05
ribose phosphate biosynthetic process (GO:0046390)	169	86	49.25	+	1.75	1.02E-02
endosomal transport (GO:0016197)	175	89	50.99	+	1.75	6.93E-03
regulation of binding (GO:0051098)	383	194	111.60	+	1.74	5.23E-09
response to reactive oxygen species (GO:0000302)	158	80	46.04	+	1.74	2.80E-02
purine ribonucleotide metabolic process (GO:0009150)	334	169	97.33	+	1.74	1.70E-07
protein-DNA complex subunit organization (GO:0071824)	168	85	48.95	+	1.74	1.46E-02
endomembrane system organization (GO:0010256)	327	165	95.29	+	1.73	3.57E-07
response to oxidative stress (GO:0006979)	335	169	97.62	+	1.73	2.12E-07
positive regulation of DNA-binding transcription factor activity (GO:0051091)	234	118	68.19	+	1.73	2.00E-04
protein polyubiquitination (GO:0000209)	173	87	50.41	+	1.73	1.41E-02
response to endoplasmic reticulum stress (GO:0034976)	185	93	53.91	+	1.73	6.43E-03
mitochondrion organization (GO:0007005)	376	189	109.56	+	1.73	1.94E-08
intracellular protein transport (GO:0006886)	694	348	202.23	+	1.72	1.45E-17
ribose phosphate metabolic process (GO:0019693)	359	180	104.61	+	1.72	7.82E-08
regulation of cellular protein localization (GO:1903827)	489	245	142.49	+	1.72	1.57E-11
glycerophospholipid metabolic process (GO:0006650)	202	101	58.86	+	1.72	2.82E-03
protein catabolic process (GO:0030163)	598	299	174.25	+	1.72	1.55E-14
regulation of organelle assembly (GO:1902115)	178	89	51.87	+	1.72	1.35E-02
purine nucleotide metabolic process (GO:0006163)	351	175	102.28	+	1.71	2.31E-07
regulation of cellular catabolic process (GO:0031329)	640	319	186.49	+	1.71	1.67E-15
intracellular transport (GO:0046907)	1156	576	336.85	+	1.71	1.39E-30
chromosome organization (GO:0051276)	890	443	259.34	+	1.71	1.40E-22
cellular response to peptide (GO:1901653)	207	103	60.32	+	1.71	2.70E-03
positive regulation of cytoskeleton organization (GO:0051495)	207	103	60.32	+	1.71	2.70E-03
protein glycosylation (GO:0006486)	171	85	49.83	+	1.71	2.82E-02
cellular response to peptide hormone stimulus (GO:0071375)	171	85	49.83	+	1.71	2.82E-02
macromolecule glycosylation (GO:0043413)	171	85	49.83	+	1.71	2.82E-02
regulation of cell cycle phase transition (GO:1901987)	282	140	82.17	+	1.70	2.72E-05
positive regulation of organelle organization (GO:0010638)	558	277	162.60	+	1.70	6.76E-13
sulfur compound metabolic process (GO:0006790)	248	123	72.27	+	1.70	2.48E-04
glycoprotein biosynthetic process (GO:0009101)	214	106	62.36	+	1.70	2.26E-03
cellular response to DNA damage stimulus (GO:0006974)	634	314	184.74	+	1.70	7.64E-15
protein transport (GO:0015031)	1159	574	337.72	+	1.70	8.44E-30
glycoprotein metabolic process (GO:0009100)	265	131	77.22	+	1.70	1.08E-04
regulation of mRNA metabolic process (GO:1903311)	233	115	67.89	+	1.69	8.66E-04
cellular protein metabolic process (GO:0044267)	2800	1381	815.90	+	1.69	2.94E-81
carbohydrate derivative biosynthetic process (GO:1901137)	469	231	136.66	+	1.69	5.43E-10
negative regulation of establishment of protein localization (GO:1904950)	193	95	56.24	+	1.69	1.17E-02
protein autophosphorylation (GO:0046777)	193	95	56.24	+	1.69	1.17E-02
cellular nitrogen compound catabolic process (GO:0044270)	295	145	85.96	+	1.69	2.67E-05
cellular protein-containing complex assembly (GO:0034622)	698	343	203.39	+	1.69	5.65E-16
negative regulation of cellular catabolic process (GO:0031330)	228	112	66.44	+	1.69	1.58E-03
nucleotide metabolic process (GO:0009117)	456	224	132.88	+	1.69	1.67E-09
nucleotide biosynthetic process (GO:0009165)	208	102	60.61	+	1.68	5.79E-03
establishment of protein localization (GO:0045184)	1240	608	361.33	+	1.68	1.14E-30
regulation of microtubule cytoskeleton organization (GO:0070507)	194	95	56.53	+	1.68	1.44E-02
positive regulation of cellular catabolic process (GO:0031331)	325	159	94.70	+	1.68	6.53E-06
peptide transport (GO:0015833)	1184	579	345.01	+	1.68	1.02E-28
amide transport (GO:0042886)	1203	588	350.55	+	1.68	3.57E-29
mitotic cell cycle process (GO:1903047)	430	210	125.30	+	1.68	1.57E-08
heterocycle catabolic process (GO:0046700)	301	147	87.71	+	1.68	3.10E-05
regulation of catabolic process (GO:0009894)	756	369	220.29	+	1.68	6.02E-17
mitotic cell cycle (GO:0000278)	504	246	146.86	+	1.68	2.13E-10
positive regulation of protein complex assembly (GO:0031334)	228	111	66.44	+	1.67	2.71E-03
negative regulation of protein transport (GO:0051224)	189	92	55.07	+	1.67	2.61E-02
DNA metabolic process (GO:0006259)	633	308	184.45	+	1.67	1.66E-13
regulation of apoptotic signaling pathway (GO:2001233)	405	197	118.01	+	1.67	1.05E-07
phospholipid metabolic process (GO:0006644)	286	139	83.34	+	1.67	1.07E-04
glycerolipid metabolic process (GO:0046486)	276	134	80.42	+	1.67	2.05E-04
regulation of leukocyte cell-cell adhesion (GO:1903037)	274	133	79.84	+	1.67	2.34E-04
nucleoside phosphate metabolic process (GO:0006753)	464	225	135.21	+	1.66	4.99E-09
positive regulation of leukocyte cell-cell adhesion (GO:1903039)	192	93	55.95	+	1.66	2.81E-02
regulation of response to DNA damage stimulus (GO:2001020)	192	93	55.95	+	1.66	2.81E-02
negative regulation of protein phosphorylation (GO:0001933)	395	191	115.10	+	1.66	3.43E-07
positive regulation of catabolic process (GO:0009896)	391	189	113.93	+	1.66	4.44E-07
regulation of T cell activation (GO:0050863)	294	142	85.67	+	1.66	1.09E-04
regulation of DNA metabolic process (GO:0051052)	410	198	119.47	+	1.66	1.68E-07
carbohydrate derivative metabolic process (GO:1901135)	835	403	243.31	+	1.66	5.84E-18
cofactor metabolic process (GO:0051186)	423	204	123.26	+	1.66	9.40E-08
organophosphate metabolic process (GO:0019637)	776	374	226.12	+	1.65	2.33E-16
regulation of protein catabolic process (GO:0042176)	359	173	104.61	+	1.65	3.55E-06
regulation of DNA-binding transcription factor activity (GO:0051090)	380	183	110.73	+	1.65	1.18E-06
dephosphorylation (GO:0016311)	214	103	62.36	+	1.65	1.14E-02
regulation of leukocyte differentiation (GO:1902105)	283	136	82.46	+	1.65	2.88E-04
positive regulation of DNA metabolic process (GO:0051054)	231	111	67.31	+	1.65	4.94E-03
cellular response to stress (GO:0033554)	1353	649	394.26	+	1.65	2.11E-30
small GTPase mediated signal transduction (GO:0007264)	265	127	77.22	+	1.64	9.22E-04
nucleoside phosphate biosynthetic process (GO:1901293)	215	103	62.65	+	1.64	1.39E-02
chromosome segregation (GO:0007059)	253	121	73.72	+	1.64	2.00E-03
purine-containing compound metabolic process (GO:0072521)	389	186	113.35	+	1.64	1.44E-06
negative regulation of phosphorylation (GO:0042326)	438	209	127.63	+	1.64	1.30E-07
aromatic compound catabolic process (GO:0019439)	315	150	91.79	+	1.63	1.03E-04
regulation of GTPase activity (GO:0043087)	292	139	85.09	+	1.63	3.50E-04
regulation of protein serine/threonine kinase activity (GO:0071900)	431	205	125.59	+	1.63	2.65E-07
regulation of protein kinase activity (GO:0045859)	654	311	190.57	+	1.63	2.17E-12
nitrogen compound transport (GO:0071705)	1441	685	419.90	+	1.63	3.18E-31
cellular response to organonitrogen compound (GO:0071417)	385	183	112.19	+	1.63	3.12E-06
nucleobase-containing small molecule metabolic process (GO:0055086)	522	248	152.11	+	1.63	2.60E-09
positive regulation of GTPase activity (GO:0043547)	215	102	62.65	+	1.63	2.34E-02
cellular protein modification process (GO:0006464)	2236	1060	651.56	+	1.63	2.60E-51
protein modification process (GO:0036211)	2236	1060	651.56	+	1.63	2.60E-51
positive regulation of cell-cell adhesion (GO:0022409)	230	109	67.02	+	1.63	1.14E-02
regulation of transferase activity (GO:0051338)	823	390	239.82	+	1.63	5.16E-16
Ras protein signal transduction (GO:0007265)	209	99	60.90	+	1.63	3.44E-02
response to radiation (GO:0009314)	389	184	113.35	+	1.62	4.00E-06
macromolecule modification (GO:0043412)	2400	1135	699.34	+	1.62	4.07E-55
response to peptide hormone (GO:0043434)	256	121	74.60	+	1.62	3.56E-03
regulation of supramolecular fiber organization (GO:1902903)	343	162	99.95	+	1.62	4.68E-05
establishment of localization in cell (GO:0051649)	1373	648	400.08	+	1.62	1.87E-28
organelle organization (GO:0006996)	2912	1374	848.54	+	1.62	9.86E-69
regulation of protein polymerization (GO:0032271)	210	99	61.19	+	1.62	4.16E-02
response to peptide (GO:1901652)	306	144	89.17	+	1.61	3.92E-04
regulation of organelle organization (GO:0033043)	1171	551	341.22	+	1.61	2.71E-23
carbohydrate metabolic process (GO:0005975)	387	182	112.77	+	1.61	7.54E-06
positive regulation of defense response (GO:0031349)	285	134	83.05	+	1.61	1.18E-03
cellular protein localization (GO:0034613)	1273	598	370.94	+	1.61	1.95E-25
cellular macromolecule localization (GO:0070727)	1281	601	373.27	+	1.61	1.88E-25
regulation of kinase activity (GO:0043549)	719	337	209.51	+	1.61	8.28E-13
cellular response to nitrogen compound (GO:1901699)	470	220	136.95	+	1.61	2.07E-07
negative regulation of phosphorus metabolic process (GO:0010563)	532	249	155.02	+	1.61	1.02E-08
negative regulation of phosphate metabolic process (GO:0045936)	532	249	155.02	+	1.61	1.02E-08
positive regulation of cellular protein localization (GO:1903829)	297	139	86.54	+	1.61	8.97E-04
cellular catabolic process (GO:0044248)	1448	677	421.94	+	1.60	8.41E-29
organonitrogen compound catabolic process (GO:1901565)	841	393	245.06	+	1.60	3.31E-15
negative regulation of catabolic process (GO:0009895)	272	127	79.26	+	1.60	3.47E-03
positive regulation of proteolysis (GO:0045862)	315	147	91.79	+	1.60	4.65E-04
positive regulation of programmed cell death (GO:0043068)	611	285	178.04	+	1.60	3.49E-10
negative regulation of organelle organization (GO:0010639)	371	173	108.11	+	1.60	3.46E-05
positive regulation of apoptotic process (GO:0043065)	605	282	176.29	+	1.60	5.15E-10
regulation of microtubule-based process (GO:0032886)	228	106	66.44	+	1.60	3.55E-02
regulation of protein complex assembly (GO:0043254)	437	203	127.34	+	1.59	2.20E-06
cellular nitrogen compound metabolic process (GO:0034641)	4147	1923	1208.41	+	1.59	4.24E-98
cellular macromolecule biosynthetic process (GO:0034645)	2694	1249	785.01	+	1.59	3.74E-57
positive regulation of hydrolase activity (GO:0051345)	497	230	144.82	+	1.59	2.03E-07
macromolecule biosynthetic process (GO:0009059)	2721	1258	792.88	+	1.59	5.26E-57
positive regulation of cell death (GO:0010942)	667	308	194.36	+	1.58	1.08E-10
regulation of mitotic cell cycle (GO:0007346)	494	228	143.95	+	1.58	3.14E-07
organic substance catabolic process (GO:1901575)	1361	628	396.59	+	1.58	5.78E-25
response to light stimulus (GO:0009416)	284	131	82.76	+	1.58	4.29E-03
lipid biosynthetic process (GO:0008610)	412	190	120.05	+	1.58	1.38E-05
negative regulation of cell cycle (GO:0045786)	399	184	116.27	+	1.58	2.49E-05
protein-containing complex subunit organization (GO:0043933)	1496	689	435.92	+	1.58	1.37E-27
gene expression (GO:0010467)	3007	1384	876.22	+	1.58	7.22E-63
protein-containing complex assembly (GO:0065003)	1311	603	382.02	+	1.58	1.76E-23
protein localization (GO:0008104)	1799	827	524.22	+	1.58	7.20E-34
cellular biosynthetic process (GO:0044249)	3474	1596	1012.30	+	1.58	1.83E-74
regulation of cytoskeleton organization (GO:0051493)	516	237	150.36	+	1.58	2.01E-07
cell cycle process (GO:0022402)	742	340	216.21	+	1.57	1.20E-11
cellular response to organic cyclic compound (GO:0071407)	369	169	107.52	+	1.57	1.67E-04
cellular response to external stimulus (GO:0071496)	238	109	69.35	+	1.57	4.94E-02
homeostasis of number of cells (GO:0048872)	249	114	72.56	+	1.57	3.12E-02
phosphate-containing compound metabolic process (GO:0006796)	1695	776	493.91	+	1.57	6.83E-31
organic substance biosynthetic process (GO:1901576)	3557	1626	1036.49	+	1.57	1.06E-74
regulation of actin filament organization (GO:0110053)	254	116	74.01	+	1.57	2.88E-02
biosynthetic process (GO:0009058)	3617	1651	1053.97	+	1.57	1.06E-75
organic cyclic compound catabolic process (GO:1901361)	344	157	100.24	+	1.57	6.42E-04
actin cytoskeleton organization (GO:0030036)	447	204	130.25	+	1.57	7.93E-06
organelle localization (GO:0051640)	445	203	129.67	+	1.57	9.00E-06
regulation of establishment of protein localization (GO:0070201)	695	317	202.52	+	1.57	1.95E-10
nucleobase-containing compound metabolic process (GO:0006139)	3600	1642	1049.02	+	1.57	6.03E-75
positive regulation of cell cycle (GO:0045787)	364	166	106.07	+	1.57	2.91E-04
cellular macromolecule metabolic process (GO:0044260)	5065	2308	1475.91	+	1.56	4.68E-117
phosphorus metabolic process (GO:0006793)	1717	782	500.32	+	1.56	1.78E-30
cellular localization (GO:0051641)	1928	878	561.81	+	1.56	6.78E-35
catabolic process (GO:0009056)	1628	741	474.39	+	1.56	1.56E-28
regulation of vesicle-mediated transport (GO:0060627)	457	208	133.17	+	1.56	6.73E-06
apoptotic process (GO:0006915)	791	360	230.49	+	1.56	4.29E-12
