Analysis Type:	PANTHER Enrichment Test (release 20170413)
Annotation Version and Release Date:	GO Ontology database  Released 2018-04-04
Analyzed List:	fibrosis_data+padj.txt (Mus musculus)
Bonferroni correction:	true
Bonferroni count:	6972
GO biological process complete	number	overUnder	pvalue
positive regulation of cellular process (GO:0048522)	3474	-	2.60E-03
multicellular organismal process (GO:0032501)	3440	-	2.60E-03
regulation of adaptive immune response (GO:0002819)	126	-	2.69E-03
regulation of biological quality (GO:0065008)	2290	-	2.73E-03
negative regulation of cytokine production (GO:0001818)	175	-	3.09E-03
regulation of intracellular signal transduction (GO:1902531)	1151	-	3.45E-03
regulation of DNA binding transcription factor activity (GO:0051090)	289	-	3.52E-03
response to nitrogen compound (GO:1901698)	553	-	3.78E-03
lymphocyte differentiation (GO:0030098)	191	-	3.81E-03
positive regulation of macromolecule metabolic process (GO:0010604)	2181	-	3.94E-03
anatomical structure morphogenesis (GO:0009653)	1311	-	4.18E-03
response to interferon-beta (GO:0035456)	44	-	4.45E-03
cellular developmental process (GO:0048869)	2235	-	5.36E-03
regulation of adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains (GO:0002822)	114	-	5.72E-03
positive regulation of T cell differentiation (GO:0045582)	67	-	6.55E-03
regulation of alpha-beta T cell proliferation (GO:0046640)	29	-	6.99E-03
cytoplasmic translation (GO:0002181)	52	-	7.21E-03
circulatory system process (GO:0003013)	225	-	7.50E-03
regulation of secretion (GO:0051046)	505	-	7.75E-03
positive regulation of mononuclear cell proliferation (GO:0032946)	106	-	8.02E-03
positive regulation of leukocyte migration (GO:0002687)	107	-	8.07E-03
regulation of cytokine production involved in immune response (GO:0002718)	54	-	8.11E-03
cell differentiation (GO:0030154)	2177	-	8.51E-03
positive regulation of leukocyte proliferation (GO:0070665)	110	-	8.60E-03
regulation of cytokine-mediated signaling pathway (GO:0001959)	79	-	8.96E-03
system development (GO:0048731)	2513	-	9.11E-03
negative regulation of leukocyte activation (GO:0002695)	129	-	9.63E-03
cellular response to nitrogen compound (GO:1901699)	341	-	9.69E-03
regulation of signal transduction (GO:0009966)	1835	-	9.89E-03
anatomical structure development (GO:0048856)	3011	-	9.92E-03
negative regulation of response to stimulus (GO:0048585)	1071	-	9.95E-03
regulation of response to cytokine stimulus (GO:0060759)	88	-	1.01E-02
tRNA metabolic process (GO:0006399)	152	+	1.01E-02
regulation of protein metabolic process (GO:0051246)	1896	-	1.05E-02
regulation of leukocyte migration (GO:0002685)	140	-	1.05E-02
positive regulation of molecular function (GO:0044093)	1059	-	1.07E-02
cell migration (GO:0016477)	535	-	1.10E-02
negative regulation of developmental process (GO:0051093)	640	-	1.12E-02
positive regulation of metabolic process (GO:0009893)	2339	-	1.12E-02
developmental process (GO:0032502)	3232	-	1.13E-02
positive regulation of protein phosphorylation (GO:0001934)	650	-	1.22E-02
positive regulation of phosphorus metabolic process (GO:0010562)	741	-	1.30E-02
positive regulation of phosphate metabolic process (GO:0045937)	741	-	1.30E-02
positive regulation of lymphocyte proliferation (GO:0050671)	104	-	1.30E-02
positive regulation of alpha-beta T cell activation (GO:0046635)	48	-	1.36E-02
positive regulation of nitrogen compound metabolic process (GO:0051173)	2107	-	1.37E-02
positive regulation of cytokine production involved in immune response (GO:0002720)	32	-	1.43E-02
tissue remodeling (GO:0048771)	75	-	1.46E-02
regulation of MAPK cascade (GO:0043408)	481	-	1.48E-02
negative regulation of cell proliferation (GO:0008285)	463	-	1.54E-02
regulation of lymphocyte differentiation (GO:0045619)	129	-	1.61E-02
response to interferon-gamma (GO:0034341)	92	-	1.62E-02
regulation of peptide secretion (GO:0002791)	329	-	1.76E-02
epithelium development (GO:0060429)	611	-	1.76E-02
regulation of signaling (GO:0023051)	2044	-	1.80E-02
regulation of cytokine biosynthetic process (GO:0042035)	74	-	1.84E-02
positive regulation of T cell proliferation (GO:0042102)	73	-	1.86E-02
regulation of cell communication (GO:0010646)	2025	-	1.95E-02
response to peptide hormone (GO:0043434)	174	-	2.08E-02
lymphocyte activation (GO:0046649)	299	-	2.09E-02
animal organ morphogenesis (GO:0009887)	537	-	2.11E-02
positive regulation of production of molecular mediator of immune response (GO:0002702)	65	-	2.14E-02
myeloid cell differentiation (GO:0030099)	179	-	2.42E-02
positive regulation of lymphocyte differentiation (GO:0045621)	78	-	2.50E-02
tRNA processing (GO:0008033)	100	+	2.51E-02
locomotion (GO:0040011)	688	-	2.51E-02
myeloid leukocyte differentiation (GO:0002573)	87	-	2.79E-02
positive regulation of interferon-gamma production (GO:0032729)	55	-	3.18E-02
negative regulation of biological process (GO:0048519)	3402	-	3.40E-02
taxis (GO:0042330)	277	-	3.42E-02
biological adhesion (GO:0022610)	452	-	3.43E-02
positive regulation of intracellular signal transduction (GO:1902533)	635	-	3.61E-02
regulation of cellular protein metabolic process (GO:0032268)	1759	-	3.61E-02
regulation of apoptotic process (GO:0042981)	1125	-	3.65E-02
positive regulation of activated T cell proliferation (GO:0042104)	20	-	3.68E-02
regulation of T cell differentiation (GO:0045580)	105	-	3.74E-02
blood circulation (GO:0008015)	221	-	3.82E-02
cellular response to interferon-beta (GO:0035458)	35	-	3.89E-02
multicellular organism development (GO:0007275)	2841	-	3.93E-02
negative regulation of cell differentiation (GO:0045596)	467	-	3.94E-02
positive regulation of secretion (GO:0051047)	307	-	4.01E-02
regulation of anatomical structure morphogenesis (GO:0022603)	734	-	4.09E-02
embryo development (GO:0009790)	673	-	4.31E-02
positive regulation of cellular metabolic process (GO:0031325)	2197	-	4.48E-02
positive regulation of protein modification process (GO:0031401)	834	-	4.50E-02
regulation of molecular function (GO:0065009)	1704	-	4.97E-02
negative regulation of lymphocyte activation (GO:0051250)	111	-	5.00E-02
